序號	書中頁碼	圖上頁碼	地圖編號	地圖名稱	分冊信息	收錄圖冊	圖番（請求圖番）	收錄圖域	所載索引圖	地區	攝影時間	測圖、測量時間	測圖時間2（製版）	測圖者	修正時間	縮圖時間	製圖時間	製版時間	製版者	製印時間	印刷時間	複製時間	複製者	調製時間	調製者	發行時間	發行者	比例尺	ps	WKT
1	78		C0001	灘滸山	第一冊	中國大陸五萬分之一地圖集成	南支那五萬分之一圖上海36號		浙江省索引圖1	浙江省		中華民國7年						昭和13年								昭和13年	陸地測量部/參謀本部	1:50000		POLYGON((121.5285 30.607229,121.5285 30.770108,121.758608 30.770108,121.758608 30.607229,121.5285 30.607229))
2	78		C0002	白山	第一冊	中國大陸五萬分之一地圖集成	南支那五萬分之一圖上海37號		浙江省索引圖1	浙江省		中華民國7年						昭和13年								昭和13年	陸地測量部/參謀本部	1:50000		POLYGON((121.528851 30.443283,121.528851 30.608212,121.758353 30.608212,121.758353 30.443283,121.528851 30.443283))
3	78		C0003	四平頭礁	第一冊	中國大陸五萬分之一地圖集成	南支那五萬分之一圖上海38號		浙江省索引圖1	浙江省		中華民國7年						昭和13年								昭和13年	陸地測量部/參謀本部	1:50000		POLYGON((121.528477 30.278692,121.528477 30.445201,121.758296 30.445201,121.758296 30.278692,121.528477 30.278692))
4	78		C0004	西霍山	第一冊	中國大陸五萬分之一地圖集成	南支那五萬分之一圖上海39號		浙江省索引圖1	浙江省		中華民國7年						昭和13年								昭和13年	陸地測量部/參謀本部	1:50000		POLYGON((121.528635 30.112402,121.528635 30.279326,121.759939 30.279326,121.759939 30.112402,121.528635 30.112402))
5	78		C0005	鎮海縣城	第一冊	中國大陸五萬分之一地圖集成	南支那五萬分之一圖上海40號		浙江省索引圖1	浙江省		中華民國5年						昭和13年								昭和13年	陸地測量部/參謀本部	1:50000		POLYGON((121.525113 29.946706,121.525113 30.134337,121.765613 30.134337,121.765613 29.946706,121.525113 29.946706))
6	78		C0006	王盤山	第一冊	中國大陸五萬分之一地圖集成	南支那五萬分之一圖上海47號		浙江省索引圖1	浙江省		中華民國7年						昭和13年								昭和13年	陸地測量部/參謀本部	1:50000		POLYGON((121.285768 30.444076,121.285768 30.607534,121.530629 30.607534,121.530629 30.444076,121.285768 30.444076))
7	78		C0007	水霪浦口	第一冊	中國大陸五萬分之一地圖集成	南支那五萬分之一圖上海48號		浙江省索引圖1	浙江省		中華民國5年						昭和13年								昭和13年	陸地測量部/參謀本部	1:50000		POLYGON((121.289238 30.277676,121.289238 30.445483,121.531578 30.445483,121.531578 30.277676,121.289238 30.277676))
8	78		C0008	觀海衛城	第一冊	中國大陸五萬分之一地圖集成	南支那五萬分之一圖上海49號		浙江省索引圖1	浙江省		中華民國5年						昭和13年								昭和13年	陸地測量部/參謀本部	1:50000		POLYGON((121.289909 30.112877,121.289909 30.279114,121.531147 30.279114,121.531147 30.112877,121.289909 30.112877))
9	78		C0009	慈谿縣城	第一冊	中國大陸五萬分之一地圖集成	南支那五萬分之一圖上海50號		浙江省索引圖1	浙江省		中華民國5年						昭和13年								昭和13年	陸地測量部/參謀本部	1:50000		POLYGON((121.289972 29.948118,121.289972 30.113826,121.531488 30.113826,121.531488 29.948118,121.289972 29.948118))
10	78		C0010	餘姚鹽場	第一冊	中國大陸五萬分之一地圖集成	南支那五萬分之一圖上海58號		浙江省索引圖1	浙江省		中華民國5年						昭和13年								昭和13年	陸地測量部/參謀本部	1:50000		POLYGON((121.055242 30.27744,121.055242 30.445663,121.291785 30.445663,121.291785 30.27744,121.055242 30.27744))
